                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.66824,                0.35057,                0.92496,                0.99972,                      1,                  0.995,                0.88569,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                    126,                0.67822,                0.35059,                0.93448,                0.99463,                      1,                  0.995,                0.88721,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                    127,                0.66381,                0.34953,                0.92341,                      1,                0.99427,                  0.995,                0.88283,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                    128,                0.65722,                0.34366,                0.92665,                0.99955,                      1,                  0.995,                0.88957,                      0,                    inf,                      0,              0.0037135,              0.0037135,              0.0037135
                    129,                0.66218,                0.34476,                0.92711,                0.99947,                      1,                  0.995,                  0.889,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                    130,                 0.6633,                 0.3465,                0.91953,                      1,                0.99969,                  0.995,                0.88516,                      0,                    inf,                      0,              0.0036145,              0.0036145,              0.0036145
                    131,                0.66695,                0.34093,                0.92801,                0.99954,                0.99531,                  0.995,                0.89404,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                    132,                0.65649,                 0.3413,                0.92533,                0.99924,                0.99531,                  0.995,                 0.8902,                      0,                    inf,                      0,              0.0035155,              0.0035155,              0.0035155
                    133,                0.64372,                0.33472,                0.91451,                0.99956,                0.99531,                  0.995,                0.89539,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                    134,                0.64005,                0.33432,                0.92101,                0.99876,                      1,                  0.995,                 0.8933,                      0,                    inf,                      0,              0.0034165,              0.0034165,              0.0034165
                    135,                0.64331,                0.33716,                0.91974,                0.99953,                0.99531,                  0.995,                0.89703,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                    136,                0.62359,                0.32321,                0.90933,                0.99892,                0.99531,                  0.995,                0.88957,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
